"Perioden";"Regio's";"Totaal levendgeborenen";"Bruto geboortecijfer";"Levendgeboren jongens";"Levendgeboren meisjes";"Algemeen vruchtbaarheidscijfer";"Gestandaardiseerd vruchtbaarheidscijfer";"Gemiddeld kindertal per vrouw";"Totaal levendgeborenen";"Jonger dan 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 jaar of ouder";"Totaal levendgeborenen";"1e kind";"2e kind";"3e kind";"4e of volgende kinderen";"Totaal levendgeborenen";"Moeder gehuwd";"Moeder niet-gehuwd";"Gemeente";"Landsdeel";"Provincie";"COROP-gebied";"Stadsgewest";"Grootstedelijke agglomeratie"
"2007";"Kop van Noord-Holland (CR)";"3882";"10.6";"2029";"1853";"46.8";"48.9";"1.83";"3882";"38";"337";"1117";"1467";"803";"115";"5";"3882";"1643";"1521";"549";"169";"3882";"2118";"1764";"";"03";"27";"18";"";""
"2007";"Alkmaar en omgeving (CR)";"2447";"10.7";"1267";"1180";"46.5";"46.6";"1.71";"2447";"25";"168";"674";"953";"546";"79";"2";"2447";"1145";"920";"301";"81";"2447";"1347";"1100";"";"03";"27";"19";"";""
"2007";"IJmond (CR)";"1831";"9.6";"950";"881";"42.5";"46.6";"1.73";"1831";"15";"165";"508";"644";"432";"67";"-";"1831";"817";"706";"245";"63";"1831";"1000";"831";"";"03";"27";"20";"";""
"2007";"Agglomeratie Haarlem (CR)";"2388";"11.0";"1227";"1161";"47.8";"47.0";"1.67";"2388";"20";"152";"461";"875";"747";"128";"5";"2388";"1098";"901";"299";"90";"2388";"1325";"1063";"";"03";"27";"21";"";""
"2007";"Zaanstreek (CR)";"1772";"11.2";"888";"884";"47.4";"46.9";"1.75";"1772";"18";"192";"497";"636";"362";"66";"1";"1772";"854";"661";"183";"74";"1772";"957";"815";"";"03";"27";"22";"";""
"2007";"Groot-Amsterdam (CR)";"15655";"12.9";"8023";"7632";"48.5";"43.0";"1.57";"15655";"153";"1327";"3321";"5717";"4223";"868";"46";"15655";"7713";"5384";"1783";"775";"15655";"8331";"7324";"";"03";"27";"23";"";""
"2007";"Het Gooi en Vechtstreek (CR)";"2535";"10.5";"1291";"1244";"47.6";"51.4";"1.81";"2535";"17";"132";"474";"991";"776";"143";"2";"2535";"1068";"1006";"376";"85";"2535";"1516";"1019";"";"03";"27";"24";"";""
"2007";"Agglomeratie Leiden en Bollenstreek (CR)";"4085";"10.5";"2050";"2035";"42.7";"43.3";"1.58";"4085";"22";"276";"1014";"1560";"1040";"166";"7";"4085";"1826";"1548";"524";"187";"4085";"2657";"1428";"";"03";"28";"25";"";""
"2007";"Agglomeratie 's-Gravenhage (CR)";"9608";"12.3";"4955";"4653";"49.6";"46.1";"1.70";"9608";"137";"1136";"2495";"3293";"2117";"406";"24";"9608";"4566";"3399";"1193";"450";"9608";"5527";"4081";"";"03";"28";"26";"";""
"2007";"Delft en Westland (CR)";"2269";"10.7";"1095";"1174";"45.2";"45.7";"1.68";"2269";"21";"185";"592";"898";"487";"83";"3";"2269";"1036";"841";"306";"86";"2269";"1390";"879";"";"03";"28";"27";"";""
"2007";"Oost-Zuid-Holland (CR)";"3710";"11.5";"1892";"1818";"49.5";"51.4";"1.90";"3710";"24";"293";"1075";"1391";"796";"127";"4";"3710";"1561";"1398";"477";"274";"3710";"2540";"1170";"";"03";"28";"28";"";""
"2007";"Groot-Rijnmond (CR)";"15300";"11.2";"7761";"7539";"46.1";"44.4";"1.63";"15300";"228";"1813";"4399";"5206";"3056";"576";"22";"15300";"7023";"5331";"1919";"1027";"15300";"8851";"6449";"";"03";"28";"29";"";""
