"Perioden";"Regio's";"Totaal levendgeborenen";"Bruto geboortecijfer";"Levendgeboren jongens";"Levendgeboren meisjes";"Algemeen vruchtbaarheidscijfer";"Gestandaardiseerd vruchtbaarheidscijfer";"Gemiddeld kindertal per vrouw";"Totaal levendgeborenen";"Jonger dan 20 jaar";"20 tot 25 jaar";"25 tot 30 jaar";"30 tot 35 jaar";"35 tot 40 jaar";"40 tot 45 jaar";"45 jaar of ouder";"Totaal levendgeborenen";"1e kind";"2e kind";"3e kind";"4e of volgende kinderen";"Totaal levendgeborenen";"Moeder gehuwd";"Moeder niet-gehuwd";"Gemeente";"Landsdeel";"Provincie";"COROP-gebied";"Stadsgewest";"Grootstedelijke agglomeratie"
"2000";"Midden-Limburg (CR)";"2479";"11.3";"1287";"1192";"47.6";"50.6";"1.65";"2479";"22";"136";"657";"1183";"437";"44";"-";"2479";"1199";"929";"275";"76";"2479";"2016";"463";"";"04";"31";"38";"";""
"2000";"Zuid-Limburg (CR)";"6453";"10.0";"3261";"3192";"41.4";"44.5";"1.48";"6453";"97";"595";"1764";"2770";"1074";"150";"3";"6453";"3277";"2403";"580";"193";"6453";"4849";"1604";"";"04";"31";"39";"";""
"2000";"Flevoland (CR)";"5064";"15.7";"2554";"2510";"58.2";"58.3";"1.99";"5064";"67";"593";"1586";"1957";"740";"113";"8";"5064";"2226";"1795";"684";"359";"5064";"3794";"1270";"";"02";"24";"40";"";""
"2000";"Groningen (SG)";"3798";"11.4";"1955";"1843";"43.2";"43.7";"1.46";"3798";"69";"304";"1008";"1539";"754";"118";"6";"3798";"1812";"1390";"432";"164";"3798";"2492";"1306";"";"";"";"";"01";""
"2000";"Leeuwarden (SG)";"1800";"11.6";"923";"877";"46.1";"48.2";"1.59";"1800";"29";"162";"552";"719";"305";"31";"2";"1800";"811";"674";"229";"86";"1800";"1186";"614";"";"";"";"";"02";""
"2000";"Zwolle (SG)";"2339";"13.8";"1176";"1163";"53.6";"53.0";"1.74";"2339";"41";"157";"675";"1030";"393";"42";"1";"2339";"1078";"849";"315";"97";"2339";"1841";"498";"";"";"";"";"03";""
"2000";"Enschede (SG)";"3869";"12.6";"1982";"1887";"52.8";"52.5";"1.72";"3869";"38";"329";"1073";"1662";"674";"89";"4";"3869";"1801";"1419";"474";"175";"3869";"2949";"920";"";"";"";"";"04";""
"2000";"Apeldoorn (SG)";"2538";"12.1";"1324";"1214";"51.4";"53.8";"1.77";"2538";"31";"184";"727";"1071";"465";"58";"2";"2538";"1188";"884";"313";"153";"2538";"1949";"589";"";"";"";"";"05";""
"2000";"Arnhem (SG)";"4114";"12.7";"2062";"2052";"50.9";"50.3";"1.65";"4114";"41";"324";"1070";"1756";"788";"133";"2";"4114";"2029";"1439";"488";"158";"4114";"2920";"1194";"";"";"";"";"06";""
"2000";"Nijmegen (SG)";"3378";"12.5";"1726";"1652";"47.2";"46.4";"1.52";"3378";"25";"245";"836";"1430";"715";"125";"2";"3378";"1657";"1219";"384";"118";"3378";"2347";"1031";"";"";"";"";"07";""
"2000";"Amersfoort (SG)";"3900";"15.2";"2060";"1840";"59.8";"57.7";"1.89";"3900";"30";"297";"1019";"1701";"768";"83";"2";"3900";"1830";"1383";"497";"190";"3900";"3123";"777";"";"";"";"";"08";""
"2000";"Utrecht (SG)";"7570";"14.1";"3845";"3725";"50.8";"47.4";"1.58";"7570";"78";"624";"1817";"3209";"1581";"255";"6";"7570";"3720";"2617";"846";"387";"7570";"5486";"2084";"";"";"";"";"09";""
"2000";"Amsterdam (SG)";"19560";"14.1";"10030";"9530";"52.0";"47.2";"1.59";"19560";"296";"2104";"4779";"7449";"4098";"804";"30";"19560";"9828";"6719";"2002";"1011";"19560";"12118";"7442";"";"";"";"";"10";""
"2000";"Haarlem (SG)";"4796";"12.3";"2482";"2314";"52.0";"51.5";"1.67";"4796";"42";"313";"1148";"2121";"1006";"162";"4";"4796";"2175";"1843";"606";"172";"4796";"3412";"1384";"";"";"";"";"11";""
"2000";"Leiden (SG)";"4246";"12.9";"2171";"2075";"49.8";"49.0";"1.60";"4246";"37";"269";"1077";"1868";"877";"115";"3";"4246";"1871";"1602";"576";"197";"4246";"3310";"936";"";"";"";"";"12";""
